Rule,Remediation,UI Path,Audit
1.2.4 (L1) Ensure 'Reset account lockout counter after' is set to '15 or more minute(s)' (Automated),"To establish the recommended configuration via GP, set the following UI path to 15 or 
more minute(s)","Computer Configuration\Policies\Windows Settings\Security Settings\Account 
Policies\Account Lockout Policy\Reset account lockout counter after",Navigate to the UI Path articulated in the
2.2.1 (L1) Ensure 'Access Credential Manager as a trusted caller' is set to 'No One' (Automated),"To establish the recommended configuration via GP, set the following UI path to No One","Computer Configuration\Policies\Windows Settings\Security Settings\Local 
Policies\User Rights Assignment\Access Credential Manager as a trusted caller",Navigate to the UI Path articulated in the
"2.2.2 (L1) Ensure 'Access this computer from the network' is set to 'Administrators, Remote Desktop Users' (Automated)","To establish the recommended configuration via GP, set the following UI path to 
Administrators, Remote Desktop Users","Computer Configuration\Policies\Windows Settings\Security Settings\Local 
Policies\User Rights Assignment\Access this computer from the network",Navigate to the UI Path articulated in the
2.2.3 (L1) Ensure 'Act as part of the operating system' is set to 'No One' (Automated),"To establish the recommended configuration via GP, set the following UI path to No One","Computer Configuration\Policies\Windows Settings\Security Settings\Local 
Policies\User Rights Assignment\Act as part of the operating system",Navigate to the UI Path articulated in the
"2.2.4 (L1) Ensure 'Adjust memory quotas for a process' is set to 'Administrators, LOCAL SERVICE, NETWORK SERVICE' (Automated)","To establish the recommended configuration via GP, set the following UI path to 
Administrators, LOCAL SERVICE, NETWORK SERVICE","Computer Configuration\Policies\Windows Settings\Security Settings\Local 
Policies\User Rights Assignment\Adjust memory quotas for a process",Navigate to the UI Path articulated in the
"2.2.5 (L1) Ensure 'Allow log on locally' is set to 'Administrators, Users' (Automated)","To establish the recommended configuration via GP, set the following UI path to 
Administrators, Users","Computer Configuration\Policies\Windows Settings\Security Settings\Local 
Policies\User Rights Assignment\Allow log on locally",Navigate to the UI Path articulated in the
"2.2.6 (L1) Ensure 'Allow log on through Remote Desktop Services' is set to 'Administrators, Remote Desktop Users' (Automated)","To establish the recommended configuration via GP, set the following UI path to 
Administrators, Remote Desktop Users","Computer Configuration\Policies\Windows Settings\Security Settings\Local 
Policies\User Rights Assignment\Allow log on through Remote Desktop Services",Navigate to the UI Path articulated in the
2.2.7 (L1) Ensure 'Back up files and directories' is set to 'Administrators' (Automated),"To establish the recommended configuration via GP, set the following UI path to 
Administrators. 
Computer Configuration\Policies\Windows Settings\Security Settings\Local 
Policies\User Rights Assignment\Back up files and directories",Null,Navigate to the UI Path articulated in the
"2.2.8 (L1) Ensure 'Change the system time' is set to 'Administrators, LOCAL SERVICE' (Automated)","To establish the recommended configuration via GP, set the following UI path to 
Administrators, LOCAL SERVICE","Computer Configuration\Policies\Windows Settings\Security Settings\Local 
Policies\User Rights Assignment\Change the system time",Navigate to the UI Path articulated in the
"2.2.9 (L1) Ensure 'Change the time zone' is set to 'Administrators, LOCAL SERVICE, Users' (Automated)","To establish the recommended configuration via GP, set the following UI path to 
Administrators, LOCAL SERVICE, Users","Computer Configuration\Policies\Windows Settings\Security Settings\Local 
Policies\User Rights Assignment\Change the time zone",Navigate to the UI Path articulated in the
2.2.10 (L1) Ensure 'Create a pagefile' is set to 'Administrators' (Automated),"To establish the recommended configuration via GP, set the following UI path to 
Administrators","Computer Configuration\Policies\Windows Settings\Security Settings\Local 
Policies\User Rights Assignment\Create a pagefile",Navigate to the UI Path articulated in the
2.2.11 (L1) Ensure 'Create a token object' is set to 'No One' (Automated),"To establish the recommended configuration via GP, set the following UI path to No One","Computer Configuration\Policies\Windows Settings\Security Settings\Local 
Policies\User Rights Assignment\Create a token object",Navigate to the UI Path articulated in the
"2.2.12 (L1) Ensure 'Create global objects' is set to 'Administrators, LOCAL SERVICE, NETWORK SERVICE, SERVICE' (Automated)","To establish the recommended configuration via GP, set the following UI path to 
Administrators, LOCAL SERVICE, NETWORK SERVICE, SERVICE","Computer Configuration\Policies\Windows Settings\Security Settings\Local 
Policies\User Rights Assignment\Create global objects",Navigate to the UI Path articulated in the
2.2.13 (L1) Ensure 'Create permanent shared objects' is set to 'No One' (Automated),"To establish the recommended configuration via GP, set the following UI path to No One","Computer Configuration\Policies\Windows Settings\Security Settings\Local 
Policies\User Rights Assignment\Create permanent shared objects",Navigate to the UI Path articulated in the
2.2.14 (L1) Configure 'Create symbolic links' (Automated),"To implement the recommended configuration state, configure the following UI path","Computer Configuration\Policies\Windows Settings\Security Settings\Local 
Policies\User Rights Assignment\Create symbolic links",Navigate to the UI Path articulated in the
2.2.15 (L1) Ensure 'Debug programs' is set to 'Administrators' (Automated),"To establish the recommended configuration via GP, set the following UI path to 
Administrators","Computer Configuration\Policies\Windows Settings\Security Settings\Local 
Policies\User Rights Assignment\Debug programs",Navigate to the UI Path articulated in the
"2.2.16 (L1) Ensure 'Deny access to this computer from the network' to include 'Guests, Local account' (Automated)","To establish the recommended configuration via GP, set the following UI path to include 
Guests, Local account","Computer Configuration\Policies\Windows Settings\Security Settings\Local 
Policies\User Rights Assignment\Deny access to this computer from the network",Navigate to the UI Path articulated in the
2.2.17 (L1) Ensure 'Deny log on as a batch job' to include 'Guests' (Automated),"To establish the recommended configuration via GP, set the following UI path to include 
Guests","Computer Configuration\Policies\Windows Settings\Security Settings\Local 
Policies\User Rights Assignment\Deny log on as a batch job",Navigate to the UI Path articulated in the
2.2.18 (L1) Ensure 'Deny log on as a service' to include 'Guests' (Automated),"To establish the recommended configuration via GP, set the following UI path to include 
Guests","Computer Configuration\Policies\Windows Settings\Security Settings\Local 
Policies\User Rights Assignment\Deny log on as a service",Navigate to the UI Path articulated in the
2.2.19 (L1) Ensure 'Deny log on locally' to include 'Guests' (Automated),"To establish the recommended configuration via GP, set the following UI path to include 
Guests","Computer Configuration\Policies\Windows Settings\Security Settings\Local 
Policies\User Rights Assignment\Deny log on locally",Navigate to the UI Path articulated in the
"2.2.20 (L1) Ensure 'Deny log on through Remote Desktop Services' to include 'Guests, Local account' (Automated)","To establish the recommended configuration via GP, set the following UI path to include 
Guests, Local account","Computer Configuration\Policies\Windows Settings\Security Settings\Local 
Policies\User Rights Assignment\Deny log on through Remote Desktop Services",Navigate to the UI Path articulated in the
2.2.21 (L1) Ensure 'Enable computer and user accounts to be trusted for delegation' is set to 'No One' (Automated),"To establish the recommended configuration via GP, set the following UI path to No One","Computer Configuration\Policies\Windows Settings\Security Settings\Local 
Policies\User Rights Assignment\Enable computer and user accounts to be 
trusted for delegation",Navigate to the UI Path articulated in the
2.2.22 (L1) Ensure 'Force shutdown from a remote system' is set to 'Administrators' (Automated),"To establish the recommended configuration via GP, set the following UI path to 
Administrators","Computer Configuration\Policies\Windows Settings\Security Settings\Local 
Policies\User Rights Assignment\Force shutdown from a remote system",Navigate to the UI Path articulated in the
"2.2.23 (L1) Ensure 'Generate security audits' is set to 'LOCAL SERVICE, NETWORK SERVICE' (Automated)","To establish the recommended configuration via GP, set the following UI path to LOCAL 
SERVICE, NETWORK SERVICE","Computer Configuration\Policies\Windows Settings\Security Settings\Local 
Policies\User Rights Assignment\Generate security audits",Navigate to the UI Path articulated in the
"2.2.24 (L1) Ensure 'Impersonate a client after authentication' is set to 'Administrators, LOCAL SERVICE, NETWORK SERVICE, SERVICE' (Automated)","To establish the recommended configuration via GP, set the following UI path to 
Administrators, LOCAL SERVICE, NETWORK SERVICE, SERVICE","Computer Configuration\Policies\Windows Settings\Security Settings\Local 
Policies\User Rights Assignment\Impersonate a client after authentication",Navigate to the UI Path articulated in the
"2.2.25 (L1) Ensure 'Increase scheduling priority' is set to 'Administrators, Window Manager\Window Manager Group' (Automated)","To establish the recommended configuration via GP, set the following UI path to 
Administrators, Window Manager\Window Manager Group","Computer Configuration\Policies\Windows Settings\Security Settings\Local 
Policies\User Rights Assignment\Increase scheduling priority",Navigate to the UI Path articulated in the
2.2.26 (L1) Ensure 'Load and unload device drivers' is set to 'Administrators' (Automated),"To establish the recommended configuration via GP, set the following UI path to 
Administrators","Computer Configuration\Policies\Windows Settings\Security Settings\Local 
Policies\User Rights Assignment\Load and unload device drivers",Navigate to the UI Path articulated in the
2.2.27 (L1) Ensure 'Lock pages in memory' is set to 'No One' (Automated),"To establish the recommended configuration via GP, set the following UI path to No One","Computer Configuration\Policies\Windows Settings\Security Settings\Local 
Policies\User Rights Assignment\Lock pages in memory",Navigate to the UI Path articulated in the
2.2.28 (L2) Ensure 'Log on as a batch job' is set to 'Administrators' (Automated),"To establish the recommended configuration via GP, set the following UI path to 
Administrators","Computer Configuration\Windows Settings\Security Settings\Local Policies\User 
Rights Assignment\Log on as a batch job",Navigate to the UI Path articulated in the
2.2.29 (L2) Configure 'Log on as a service' (Automated),"To establish the recommended configuration via GP, set the following UI path","Computer Configuration\Windows Settings\Security Settings\Local Policies\User 
Rights Assignment\Log on as a service",Navigate to the UI Path articulated in the
2.2.30 (L1) Ensure 'Manage auditing and security log' is set to 'Administrators' (Automated),"To establish the recommended configuration via GP, set the following UI path to 
Administrators","Computer Configuration\Policies\Windows Settings\Security Settings\Local 
Policies\User Rights Assignment\Manage auditing and security log",Navigate to the UI Path articulated in the
2.2.31 (L1) Ensure 'Modify an object label' is set to 'No One' (Automated),"To establish the recommended configuration via GP, set the following UI path to No One","Computer Configuration\Policies\Windows Settings\Security Settings\Local 
Policies\User Rights Assignment\Modify an object label",Navigate to the UI Path articulated in the
2.2.32 (L1) Ensure 'Modify firmware environment values' is set to 'Administrators' (Automated),"To establish the recommended configuration via GP, set the following UI path to 
Administrators","Computer Configuration\Policies\Windows Settings\Security Settings\Local 
Policies\User Rights Assignment\Modify firmware environment values",Navigate to the UI Path articulated in the
2.2.33 (L1) Ensure 'Perform volume maintenance tasks' is set to 'Administrators' (Automated),"To establish the recommended configuration via GP, set the following UI path to 
Administrators","Computer Configuration\Policies\Windows Settings\Security Settings\Local 
Policies\User Rights Assignment\Perform volume maintenance tasks",Navigate to the UI Path articulated in the
2.2.34 (L1) Ensure 'Profile single process' is set to 'Administrators' (Automated),"To establish the recommended configuration via GP, set the following UI path to 
Administrators","Computer Configuration\Policies\Windows Settings\Security Settings\Local 
Policies\User Rights Assignment\Profile single process",Navigate to the UI Path articulated in the
"2.2.35 (L1) Ensure 'Profile system performance' is set to 'Administrators, NT SERVICE\WdiServiceHost' (Automated)","To establish the recommended configuration via GP, set the following UI path to 
Administrators, NT SERVICE\WdiServiceHost","Computer Configuration\Policies\Windows Settings\Security Settings\Local 
Policies\User Rights Assignment\Profile system performance",Navigate to the UI Path articulated in the
"2.2.36 (L1) Ensure 'Replace a process level token' is set to 'LOCAL SERVICE, NETWORK SERVICE' (Automated)","To establish the recommended configuration via GP, set the following UI path to LOCAL 
SERVICE, NETWORK SERVICE","Computer Configuration\Policies\Windows Settings\Security Settings\Local 
Policies\User Rights Assignment\Replace a process level token",Navigate to the UI Path articulated in the
2.2.37 (L1) Ensure 'Restore files and directories' is set to 'Administrators' (Automated),"To establish the recommended configuration via GP, set the following UI path to 
Administrators","Computer Configuration\Policies\Windows Settings\Security Settings\Local 
Policies\User Rights Assignment\Restore files and directories",Navigate to the UI Path articulated in the
"2.2.38 (L1) Ensure 'Shut down the system' is set to 'Administrators, Users' (Automated)","To establish the recommended configuration via GP, set the following UI path to 
Administrators, Users","Computer Configuration\Policies\Windows Settings\Security Settings\Local 
Policies\User Rights Assignment\Shut down the system",Navigate to the UI Path articulated in the
2.2.39 (L1) Ensure 'Take ownership of files or other objects' is set to 'Administrators' (Automated),"To establish the recommended configuration via GP, set the following UI path to 
Administrators","Computer Configuration\Policies\Windows Settings\Security Settings\Local 
Policies\User Rights Assignment\Take ownership of files or other objects",Navigate to the UI Path articulated in the
2.3.1.1 (L1) Ensure 'Accounts: Block Microsoft accounts' is set to 'Users can't add or log on with Microsoft accounts' (Automated),"To establish the recommended configuration via GP, set the following UI path to Users 
can't add or log on with Microsoft accounts: 
Computer Configuration\Policies\Windows Settings\Security Settings\Local 
Policies\Security Options\Accounts: Block Microsoft accounts",Null,Navigate to the UI Path articulated in the
2.3.1.2 (L1) Ensure 'Accounts: Guest account status' is set to 'Disabled' (Automated),"To establish the recommended configuration via GP, set the following UI path to 
Disabled: 
Computer Configuration\Policies\Windows Settings\Security Settings\Local 
Policies\Security Options\Accounts: Guest account status",Null,Navigate to the UI Path articulated in the
2.3.1.3 (L1) Ensure 'Accounts: Limit local account use of blank passwords to console logon only' is set to 'Enabled' (Automated),"To establish the recommended configuration via GP, set the following UI path to 
Enabled: 
Computer Configuration\Policies\Windows Settings\Security Settings\Local 
Policies\Security Options\Accounts: Limit local account use of blank 
passwords to console logon only",Null,Navigate to the UI Path articulated in the
2.3.1.4 (L1) Configure 'Accounts: Rename administrator account' (Automated),"To establish the recommended configuration via GP, configure the following UI path: 
Computer Configuration\Policies\Windows Settings\Security Settings\Local 
Policies\Security Options\Accounts: Rename administrator account",Null,Navigate to the UI Path articulated in the
2.3.1.5 (L1) Configure 'Accounts: Rename guest account' (Automated),"To establish the recommended configuration via GP, configure the following UI path: 
Computer Configuration\Policies\Windows Settings\Security Settings\Local 
Policies\Security Options\Accounts: Rename guest account",Null,Navigate to the UI Path articulated in the
2.3.2.1 (L1) Ensure 'Audit: Force audit policy subcategory settings (Windows Vista or later) to override audit policy category settings' is set to 'Enabled' (Automated),"To establish the recommended configuration via GP, set the following UI path to 
Enabled: 
Computer Configuration\Policies\Windows Settings\Security Settings\Local 
Policies\Security Options\Audit: Force audit policy subcategory settings 
(Windows Vista or later) to override audit policy category settings",Null,Navigate to the UI Path articulated in the
2.3.2.2 (L1) Ensure 'Audit: Shut down system immediately if unable to log security audits' is set to 'Disabled' (Automated),"To establish the recommended configuration via GP, set the following UI path to 
Disabled: 
Computer Configuration\Policies\Windows Settings\Security Settings\Local 
Policies\Security Options\Audit: Shut down system immediately if unable to 
log security audits",Null,Navigate to the UI Path articulated in the
2.3.4.1 (L2) Ensure 'Devices: Prevent users from installing printer drivers' is set to 'Enabled' (Automated),"To establish the recommended configuration via GP, set the following UI path to 
Enabled: 
Computer Configuration\Policies\Windows Settings\Security Settings\Local 
Policies\Security Options\Devices: Prevent users from installing printer 
drivers",Null,Navigate to the UI Path articulated in the
2.3.6.1 (L1) Ensure 'Domain member: Digitally encrypt or sign secure channel data (always)' is set to 'Enabled' (Automated),"To establish the recommended configuration via GP, set the following UI path to 
Enabled: 
Computer Configuration\Policies\Windows Settings\Security Settings\Local 
Policies\Security Options\Domain member: Digitally encrypt or sign secure 
channel data (always)",Null,Navigate to the UI Path articulated in the
2.3.6.2 (L1) Ensure 'Domain member: Digitally encrypt secure channel data (when possible)' is set to 'Enabled' (Automated),"To establish the recommended configuration via GP, set the following UI path to 
Enabled: 
Computer Configuration\Policies\Windows Settings\Security Settings\Local 
Policies\Security Options\Domain member: Digitally encrypt secure channel 
data (when possible)",Null,Navigate to the UI Path articulated in the
2.3.6.3 (L1) Ensure 'Domain member: Digitally sign secure channel data (when possible)' is set to 'Enabled' (Automated),"To establish the recommended configuration via GP, set the following UI path to 
Enabled: 
Computer Configuration\Policies\Windows Settings\Security Settings\Local 
Policies\Security Options\Domain member: Digitally sign secure channel data 
(when possible)",Null,Navigate to the UI Path articulated in the
2.3.6.4 (L1) Ensure 'Domain member: Disable machine account password changes' is set to 'Disabled' (Automated),"To establish the recommended configuration via GP, set the following UI path to 
Disabled: 
Computer Configuration\Policies\Windows Settings\Security Settings\Local 
Policies\Security Options\Domain member: Disable machine account password 
changes",Null,Navigate to the UI Path articulated in the
"2.3.6.5 (L1) Ensure 'Domain member: Maximum machine account password age' is set to '30 or fewer days, but not 0' (Automated)","To establish the recommended configuration via GP, set the following UI path to 30 or 
fewer days, but not 0: 
Computer Configuration\Policies\Windows Settings\Security Settings\Local 
Policies\Security Options\Domain member: Maximum machine account password age",Null,Navigate to the UI Path articulated in the
2.3.6.6 (L1) Ensure 'Domain member: Require strong (Windows 2000 or later) session key' is set to 'Enabled' (Automated),"To establish the recommended configuration via GP, set the following UI path to 
Enabled: 
Computer Configuration\Policies\Windows Settings\Security Settings\Local 
Policies\Security Options\Domain member: Require strong (Windows 2000 or 
later) session key",Null,Navigate to the UI Path articulated in the
2.3.7.1 (L1) Ensure 'Interactive logon: Do not require CTRL+ALT+DEL' is set to 'Disabled' (Automated),"To establish the recommended configuration via GP, set the following UI path to 
Disabled: 
Computer Configuration\Policies\Windows Settings\Security Settings\Local 
Policies\Security Options\Interactive logon: Do not require CTRL+ALT+DEL",Null,Navigate to the UI Path articulated in the
2.3.7.2 (L1) Ensure 'Interactive logon: Don't display last signed-in' is set to 'Enabled' (Automated),"To establish the recommended configuration via GP, set the following UI path to 
Enabled: 
Computer Configuration\Policies\Windows Settings\Security Settings\Local 
Policies\Security Options\Interactive logon: Don't display last signed-in 
Note: In older versions of Microsoft Windows, this setting was named Interactive logon: 
Do not display last user name, but it was renamed starting with Windows 10 Release 
1703.",Null,Navigate to the UI Path articulated in the
"2.3.7.3 (BL) Ensure 'Interactive logon: Machine account lockout threshold' is set to '10 or fewer invalid logon attempts, but not 0' (Automated)","To establish the recommended configuration via GP, set the following UI path to 10 or 
fewer invalid logon attempts, but not 0: 
Computer Configuration\Policies\Windows Settings\Security Settings\Local 
Policies\Security Options\Interactive logon: Machine account lockout 
threshold",Null,Navigate to the UI Path articulated in the
"2.3.7.4 (L1) Ensure 'Interactive logon: Machine inactivity limit' is set to '900 or fewer second(s), but not 0' (Automated)","To establish the recommended configuration via GP, set the following UI path to 900 or 
fewer seconds, but not 0: 
Computer Configuration\Policies\Windows Settings\Security Settings\Local 
Policies\Security Options\Interactive logon: Machine inactivity limit",Null,Navigate to the UI Path articulated in the
2.3.7.5 (L1) Configure 'Interactive logon: Message text for users attempting to log on' (Automated),"To establish the recommended configuration via GP, configure the following UI path to a 
value that is consistent with the security and operational requirements of your 
organization: 
Computer Configuration\Policies\Windows Settings\Security Settings\Local 
Policies\Security Options\Interactive logon: Message text for users 
attempting to log on",Null,Navigate to the UI Path articulated in the
2.3.7.6 (L1) Configure 'Interactive logon: Message title for users attempting to log on' (Automated),"To establish the recommended configuration via GP, configure the following UI path to a 
value that is consistent with the security and operational requirements of your 
organization: 
Computer Configuration\Policies\Windows Settings\Security Settings\Local 
Policies\Security Options\Interactive logon: Message title for users 
attempting to log on",Null,Navigate to the UI Path articulated in the
2.3.7.7 (L2) Ensure 'Interactive logon: Number of previous logons to cache (in case domain controller is not available)' is set to '4 or fewer logon(s)' (Automated),"To establish the recommended configuration via GP, set the following UI path to 4 or 
fewer logon(s): 
Computer Configuration\Policies\Windows Settings\Security Settings\Local 
Policies\Security Options\Interactive logon: Number of previous logons to 
cache (in case domain controller is not available)",Null,Navigate to the UI Path articulated in the
2.3.7.8 (L1) Ensure 'Interactive logon: Prompt user to change password before expiration' is set to 'between 5 and 14 days' (Automated),"To establish the recommended configuration via GP, set the following UI path to a value 
between 5 and 14 days: 
Computer Configuration\Policies\Windows Settings\Security Settings\Local 
Policies\Security Options\Interactive logon: Prompt user to change password 
before expiration",Null,Navigate to the UI Path articulated in the
2.3.7.9 (L1) Ensure 'Interactive logon: Smart card removal behavior' is set to 'Lock Workstation' or higher (Automated),"To establish the recommended configuration via GP, set the following UI path to Lock 
Workstation (or, if applicable for your environment, Force Logoff or Disconnect if a 
Remote Desktop Services session): 
Computer Configuration\Policies\Windows Settings\Security Settings\Local 
Policies\Security Options\Interactive logon: Smart card removal behavior",Null,Navigate to the UI Path articulated in the
2.3.8.1 (L1) Ensure 'Microsoft network client: Digitally sign communications (always)' is set to 'Enabled' (Automated),"To establish the recommended configuration via GP, set the following UI path to 
Enabled: 
Computer Configuration\Policies\Windows Settings\Security Settings\Local 
Policies\Security Options\Microsoft network client: Digitally sign 
communications (always)",Null,Navigate to the UI Path articulated in the
2.3.8.2 (L1) Ensure 'Microsoft network client: Digitally sign communications (if server agrees)' is set to 'Enabled' (Automated),"To establish the recommended configuration via GP, set the following UI path to 
Enabled: 
Computer Configuration\Policies\Windows Settings\Security Settings\Local 
Policies\Security Options\Microsoft network client: Digitally sign 
communications (if server agrees)",Null,Navigate to the UI Path articulated in the
2.3.8.3 (L1) Ensure 'Microsoft network client: Send unencrypted password to third-party SMB servers' is set to 'Disabled' (Automated),"To establish the recommended configuration via GP, set the following UI path to 
Disabled: 
Computer Configuration\Policies\Windows Settings\Security Settings\Local 
Policies\Security Options\Microsoft network client: Send unencrypted password 
to third-party SMB servers",Null,Navigate to the UI Path articulated in the
2.3.9.1 (L1) Ensure 'Microsoft network server: Amount of idle time required before suspending session' is set to '15 or fewer minute(s)' (Automated),"To establish the recommended configuration via GP, set the following UI path to 15 or 
fewer minute(s): 
Computer Configuration\Policies\Windows Settings\Security Settings\Local 
Policies\Security Options\Microsoft network server: Amount of idle time 
required before suspending session",Null,Navigate to the UI Path articulated in the
2.3.9.2 (L1) Ensure 'Microsoft network server: Digitally sign communications (always)' is set to 'Enabled' (Automated),"To establish the recommended configuration via GP, set the following UI path to 
Enabled: 
Computer Configuration\Policies\Windows Settings\Security Settings\Local 
Policies\Security Options\Microsoft network server: Digitally sign 
communications (always)",Null,Navigate to the UI Path articulated in the
2.3.9.3 (L1) Ensure 'Microsoft network server: Digitally sign communications (if client agrees)' is set to 'Enabled' (Automated),"To establish the recommended configuration via GP, set the following UI path to 
Enabled: 
Computer Configuration\Policies\Windows Settings\Security Settings\Local 
Policies\Security Options\Microsoft network server: Digitally sign 
communications (if client agrees)",Null,Navigate to the UI Path articulated in the
2.3.9.4 (L1) Ensure 'Microsoft network server: Disconnect clients when logon hours expire' is set to 'Enabled' (Automated),"To establish the recommended configuration via GP, set the following UI path to 
Enabled: 
Computer Configuration\Policies\Windows Settings\Security Settings\Local 
Policies\Security Options\Microsoft network server: Disconnect clients when 
logon hours expire",Null,Navigate to the UI Path articulated in the
2.3.9.5 (L1) Ensure 'Microsoft network server: Server SPN target name validation level' is set to 'Accept if provided by client' or higher (Automated),"To establish the recommended configuration via GP, set the following UI path to Accept 
if provided by client (configuring to Required from client also conforms to the 
benchmark): 
Computer Configuration\Policies\Windows Settings\Security Settings\Local 
Policies\Security Options\Microsoft network server: Server SPN target name 
validation level",Null,Navigate to the UI Path articulated in the
2.3.10.1 (L1) Ensure 'Network access: Allow anonymous SID/Name translation' is set to 'Disabled' (Automated),"To establish the recommended configuration via GP, set the following UI path to 
Disabled: 
Computer Configuration\Policies\Windows Settings\Security Settings\Local 
Policies\Security Options\Network access: Allow anonymous SID/Name 
translation",Null,Navigate to the UI Path articulated in the
2.3.10.2 (L1) Ensure 'Network access: Do not allow anonymous enumeration of SAM accounts' is set to 'Enabled' (Automated),"To establish the recommended configuration via GP, set the following UI path to 
Enabled: 
Computer Configuration\Policies\Windows Settings\Security Settings\Local 
Policies\Security Options\Network access: Do not allow anonymous enumeration 
of SAM accounts",Null,Navigate to the UI Path articulated in the
2.3.10.3 (L1) Ensure 'Network access: Do not allow anonymous enumeration of SAM accounts and shares' is set to 'Enabled' (Automated),"To establish the recommended configuration via GP, set the following UI path to 
Enabled: 
Computer Configuration\Policies\Windows Settings\Security Settings\Local 
Policies\Security Options\Network access: Do not allow anonymous enumeration 
of SAM accounts and shares",Null,Navigate to the UI Path articulated in the
2.3.10.4 (L1) Ensure 'Network access: Do not allow storage of passwords and credentials for network authentication' is set to 'Enabled' (Automated),"To establish the recommended configuration via GP, set the following UI path to 
Enabled: 
Computer Configuration\Policies\Windows Settings\Security Settings\Local 
Policies\Security Options\Network access: Do not allow storage of passwords 
and credentials for network authentication",Null,Navigate to the UI Path articulated in the
2.3.10.5 (L1) Ensure 'Network access: Let Everyone permissions apply to anonymous users' is set to 'Disabled' (Automated),"To establish the recommended configuration via GP, set the following UI path to 
Disabled: 
Computer Configuration\Policies\Windows Settings\Security Settings\Local 
Policies\Security Options\Network access: Let Everyone permissions apply to 
anonymous users",Null,Navigate to the UI Path articulated in the
2.3.10.6 (L1) Ensure 'Network access: Named Pipes that can be accessed anonymously' is set to 'None' (Automated),"To establish the recommended configuration via GP, set the following UI path to 
<blank> (i.e. None): 
Computer Configuration\Policies\Windows Settings\Security Settings\Local 
Policies\Security Options\Network access: Named Pipes that can be accessed 
anonymously",Null,Navigate to the UI Path articulated in the
